item_id,order_id,product_id,quantity,unit_price,discount_pct,subtotal
ITEM-001,ORD-062,PROD-028,1,89000,5,84550
ITEM-002,ORD-162,PROD-042,1,65000,15,55250
ITEM-003,ORD-181,PROD-006,1,520000,5,494000
ITEM-004,ORD-181,PROD-042,2,65000,0,130000
ITEM-005,ORD-181,PROD-024,2,185000,10,333000
ITEM-006,ORD-181,PROD-017,3,650000,0,1950000
ITEM-007,ORD-167,PROD-007,1,85000,0,85000
ITEM-008,ORD-002,PROD-015,2,780000,0,1560000
ITEM-009,ORD-096,PROD-022,3,185000,20,444000
ITEM-010,ORD-175,PROD-009,1,95000,0,95000
ITEM-011,ORD-175,PROD-031,2,385000,0,770000
ITEM-012,ORD-064,PROD-020,1,1250000,10,1125000
ITEM-013,ORD-156,PROD-009,1,95000,5,90250
ITEM-014,ORD-156,PROD-042,1,65000,5,61750
ITEM-015,ORD-156,PROD-044,1,145000,10,130500
ITEM-016,ORD-104,PROD-010,2,175000,0,350000
ITEM-017,ORD-104,PROD-027,1,175000,15,148750
ITEM-018,ORD-015,PROD-008,2,650000,0,1300000
ITEM-019,ORD-020,PROD-021,1,680000,5,646000
ITEM-020,ORD-020,PROD-009,2,95000,5,180500
ITEM-021,ORD-020,PROD-016,3,120000,5,342000
ITEM-022,ORD-020,PROD-018,3,310000,5,883500
ITEM-023,ORD-020,PROD-042,1,65000,5,61750
ITEM-024,ORD-173,PROD-048,1,125000,0,125000
ITEM-025,ORD-173,PROD-026,3,95000,20,228000
ITEM-026,ORD-114,PROD-008,1,650000,5,617500
ITEM-027,ORD-114,PROD-016,2,120000,20,192000
ITEM-028,ORD-140,PROD-021,1,680000,5,646000
ITEM-029,ORD-140,PROD-009,3,95000,20,228000
ITEM-030,ORD-140,PROD-025,3,125000,0,375000
ITEM-031,ORD-140,PROD-037,1,89000,0,89000
ITEM-032,ORD-140,PROD-027,1,175000,0,175000
ITEM-033,ORD-045,PROD-033,2,165000,10,297000
ITEM-034,ORD-045,PROD-019,1,450000,0,450000
ITEM-035,ORD-045,PROD-041,2,95000,5,180500
ITEM-036,ORD-155,PROD-006,1,520000,5,494000
ITEM-037,ORD-133,PROD-010,2,175000,0,350000
ITEM-038,ORD-200,PROD-042,2,65000,0,130000
ITEM-039,ORD-200,PROD-044,1,145000,20,116000
ITEM-040,ORD-093,PROD-016,1,120000,0,120000
ITEM-041,ORD-097,PROD-039,1,125000,10,112500
ITEM-042,ORD-097,PROD-004,2,450000,0,900000
ITEM-043,ORD-138,PROD-045,1,75000,0,75000
ITEM-044,ORD-138,PROD-001,2,189000,10,340200
ITEM-045,ORD-138,PROD-011,1,4200000,0,4200000
ITEM-046,ORD-147,PROD-018,3,310000,0,930000
ITEM-047,ORD-147,PROD-047,3,245000,0,735000
ITEM-048,ORD-147,PROD-008,1,650000,10,585000
ITEM-049,ORD-105,PROD-005,1,380000,0,380000
ITEM-050,ORD-105,PROD-032,1,245000,5,232750
ITEM-051,ORD-043,PROD-017,1,650000,5,617500
ITEM-052,ORD-043,PROD-050,2,185000,0,370000
ITEM-053,ORD-178,PROD-003,1,320000,0,320000
ITEM-054,ORD-178,PROD-001,1,189000,0,189000
ITEM-055,ORD-171,PROD-003,2,320000,0,640000
ITEM-056,ORD-171,PROD-036,1,145000,15,123250
ITEM-057,ORD-171,PROD-046,1,2800000,10,2520000
ITEM-058,ORD-171,PROD-048,2,125000,0,250000
ITEM-059,ORD-084,PROD-004,3,450000,20,1080000
ITEM-060,ORD-084,PROD-012,4,285000,0,1140000
ITEM-061,ORD-084,PROD-015,1,780000,0,780000
ITEM-062,ORD-037,PROD-021,1,680000,0,680000
ITEM-063,ORD-037,PROD-006,1,520000,10,468000
ITEM-064,ORD-037,PROD-036,2,145000,0,290000
ITEM-065,ORD-053,PROD-032,3,245000,10,661500
ITEM-066,ORD-053,PROD-050,2,185000,10,333000
ITEM-067,ORD-166,PROD-027,1,175000,5,166250
ITEM-068,ORD-139,PROD-045,4,75000,0,300000
ITEM-069,ORD-139,PROD-001,2,189000,10,340200
ITEM-070,ORD-158,PROD-007,4,85000,0,340000
ITEM-071,ORD-158,PROD-014,4,195000,20,624000
ITEM-072,ORD-158,PROD-034,1,680000,0,680000
ITEM-073,ORD-021,PROD-015,3,780000,5,2223000
ITEM-074,ORD-184,PROD-024,1,185000,0,185000
ITEM-075,ORD-184,PROD-030,1,145000,10,130500
ITEM-076,ORD-184,PROD-048,1,125000,5,118750
ITEM-077,ORD-059,PROD-009,1,95000,15,80750
ITEM-078,ORD-059,PROD-016,4,120000,0,480000
ITEM-079,ORD-198,PROD-021,1,680000,15,578000
ITEM-080,ORD-198,PROD-029,1,320000,10,288000
ITEM-081,ORD-198,PROD-018,1,310000,0,310000
ITEM-082,ORD-012,PROD-021,1,680000,0,680000
ITEM-083,ORD-012,PROD-027,3,175000,0,525000
ITEM-084,ORD-041,PROD-008,1,650000,5,617500
ITEM-085,ORD-041,PROD-006,3,520000,5,1482000
ITEM-086,ORD-046,PROD-021,1,680000,10,612000
ITEM-087,ORD-058,PROD-026,1,95000,20,76000
ITEM-088,ORD-058,PROD-033,1,165000,0,165000
ITEM-089,ORD-058,PROD-004,1,450000,10,405000
ITEM-090,ORD-058,PROD-044,1,145000,0,145000
ITEM-091,ORD-058,PROD-020,3,1250000,0,3750000
ITEM-092,ORD-191,PROD-050,4,185000,0,740000
ITEM-093,ORD-027,PROD-024,4,185000,0,740000
ITEM-094,ORD-027,PROD-044,2,145000,15,246500
ITEM-095,ORD-027,PROD-041,1,95000,20,76000
ITEM-096,ORD-190,PROD-042,1,65000,0,65000
ITEM-097,ORD-098,PROD-022,1,185000,15,157250
ITEM-098,ORD-098,PROD-008,1,650000,10,585000
ITEM-099,ORD-098,PROD-003,1,320000,0,320000
ITEM-100,ORD-098,PROD-030,1,145000,0,145000
ITEM-101,ORD-121,PROD-018,2,310000,5,589000
ITEM-102,ORD-121,PROD-029,2,320000,0,640000
ITEM-103,ORD-121,PROD-010,3,175000,0,525000
ITEM-104,ORD-121,PROD-003,1,320000,0,320000
ITEM-105,ORD-076,PROD-042,1,65000,20,52000
ITEM-106,ORD-076,PROD-034,2,680000,0,1360000
ITEM-107,ORD-083,PROD-046,1,2800000,10,2520000
ITEM-108,ORD-083,PROD-023,1,245000,5,232750
ITEM-109,ORD-085,PROD-018,1,310000,0,310000
ITEM-110,ORD-054,PROD-050,1,185000,10,166500
ITEM-111,ORD-011,PROD-023,2,245000,0,490000
ITEM-112,ORD-011,PROD-050,1,185000,0,185000
ITEM-113,ORD-168,PROD-035,3,125000,15,318750
ITEM-114,ORD-187,PROD-015,2,780000,20,1248000
ITEM-115,ORD-035,PROD-012,2,285000,10,513000
ITEM-116,ORD-035,PROD-016,2,120000,15,204000
ITEM-117,ORD-061,PROD-045,1,75000,5,71250
ITEM-118,ORD-165,PROD-013,3,220000,10,594000
ITEM-119,ORD-193,PROD-035,1,125000,0,125000
ITEM-120,ORD-193,PROD-020,1,1250000,5,1187500
ITEM-121,ORD-193,PROD-012,1,285000,15,242250
ITEM-122,ORD-193,PROD-032,1,245000,0,245000
ITEM-123,ORD-193,PROD-003,2,320000,15,544000
ITEM-124,ORD-124,PROD-021,1,680000,10,612000
ITEM-125,ORD-124,PROD-004,1,450000,0,450000
ITEM-126,ORD-124,PROD-002,2,245000,0,490000
ITEM-127,ORD-137,PROD-046,4,2800000,0,11200000
ITEM-128,ORD-151,PROD-020,1,1250000,20,1000000
ITEM-129,ORD-145,PROD-028,2,89000,0,178000
ITEM-130,ORD-145,PROD-041,4,95000,5,361000
ITEM-131,ORD-145,PROD-032,4,245000,10,882000
ITEM-132,ORD-172,PROD-038,3,175000,0,525000
ITEM-133,ORD-032,PROD-019,2,450000,15,765000
ITEM-134,ORD-032,PROD-009,4,95000,0,380000
ITEM-135,ORD-032,PROD-012,4,285000,20,912000
ITEM-136,ORD-094,PROD-039,1,125000,10,112500
ITEM-137,ORD-186,PROD-041,1,95000,0,95000
ITEM-138,ORD-186,PROD-037,1,89000,0,89000
ITEM-139,ORD-130,PROD-021,1,680000,15,578000
ITEM-140,ORD-029,PROD-046,2,2800000,10,5040000
ITEM-141,ORD-128,PROD-001,1,189000,0,189000
ITEM-142,ORD-170,PROD-017,3,650000,10,1755000
ITEM-143,ORD-180,PROD-029,2,320000,20,512000
ITEM-144,ORD-160,PROD-032,1,245000,10,220500
ITEM-145,ORD-160,PROD-025,3,125000,5,356250
ITEM-146,ORD-160,PROD-023,3,245000,0,735000
ITEM-147,ORD-160,PROD-035,1,125000,10,112500
ITEM-148,ORD-005,PROD-002,1,245000,20,196000
ITEM-149,ORD-082,PROD-011,3,4200000,0,12600000
ITEM-150,ORD-113,PROD-006,1,520000,20,416000
ITEM-151,ORD-142,PROD-046,1,2800000,15,2380000
ITEM-152,ORD-142,PROD-002,1,245000,0,245000
ITEM-153,ORD-142,PROD-028,1,89000,0,89000
ITEM-154,ORD-142,PROD-042,2,65000,10,117000
ITEM-155,ORD-089,PROD-017,1,650000,0,650000
ITEM-156,ORD-089,PROD-043,1,125000,5,118750
ITEM-157,ORD-089,PROD-019,1,450000,0,450000
ITEM-158,ORD-199,PROD-006,1,520000,5,494000
ITEM-159,ORD-016,PROD-013,1,220000,0,220000
ITEM-160,ORD-016,PROD-007,1,85000,0,85000
ITEM-161,ORD-007,PROD-020,1,1250000,5,1187500
