order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,region
ORD-001,CUST-042,2024-01-03,completed,450000,15000,transfer,Jawa Barat
ORD-002,CUST-017,2024-01-04,completed,1200000,20000,credit_card,DKI Jakarta
ORD-003,CUST-088,2024-01-05,cancelled,320000,15000,gopay,Jawa Tengah
ORD-004,CUST-055,2024-01-06,completed,875000,25000,credit_card,Jawa Timur
ORD-005,CUST-023,2024-01-07,completed,210000,10000,ovo,DKI Jakarta
ORD-006,CUST-091,2024-01-08,completed,3450000,30000,credit_card,DKI Jakarta
ORD-007,CUST-034,2024-01-09,refunded,540000,20000,gopay,Banten
ORD-008,CUST-060,2024-01-10,completed,180000,10000,transfer,Jawa Barat
ORD-009,CUST-012,2024-01-11,completed,990000,20000,credit_card,DKI Jakarta
ORD-010,CUST-077,2024-01-12,completed,650000,15000,ovo,Jawa Tengah
ORD-011,CUST-042,2024-01-14,completed,275000,10000,gopay,Jawa Barat
ORD-012,CUST-005,2024-01-15,completed,1850000,25000,credit_card,DKI Jakarta
ORD-013,CUST-063,2024-01-16,cancelled,420000,15000,ovo,Jawa Timur
ORD-014,CUST-029,2024-01-17,completed,730000,20000,transfer,Jawa Barat
ORD-015,CUST-081,2024-01-18,completed,295000,10000,gopay,Banten
ORD-016,CUST-017,2024-01-20,completed,2100000,30000,credit_card,DKI Jakarta
ORD-017,CUST-050,2024-01-21,completed,560000,15000,transfer,Jawa Tengah
ORD-018,CUST-038,2024-01-22,completed,145000,10000,ovo,DKI Jakarta
ORD-019,CUST-072,2024-01-23,refunded,890000,20000,credit_card,Jawa Timur
ORD-020,CUST-015,2024-01-24,completed,370000,15000,gopay,Jawa Barat
ORD-021,CUST-093,2024-02-01,completed,670000,15000,ovo,DKI Jakarta
ORD-022,CUST-027,2024-02-02,completed,1450000,25000,credit_card,Jawa Barat
ORD-023,CUST-056,2024-02-03,completed,230000,10000,gopay,Banten
ORD-024,CUST-042,2024-02-05,completed,980000,20000,transfer,Jawa Barat
ORD-025,CUST-011,2024-02-06,cancelled,550000,15000,credit_card,DKI Jakarta
ORD-026,CUST-069,2024-02-07,completed,320000,10000,ovo,Jawa Tengah
ORD-027,CUST-084,2024-02-08,completed,4200000,35000,credit_card,DKI Jakarta
ORD-028,CUST-033,2024-02-10,completed,780000,20000,gopay,Jawa Timur
ORD-029,CUST-017,2024-02-11,completed,1100000,20000,credit_card,DKI Jakarta
ORD-030,CUST-048,2024-02-12,completed,430000,15000,transfer,Jawa Barat
ORD-031,CUST-061,2024-02-14,completed,260000,10000,ovo,Jawa Tengah
ORD-032,CUST-007,2024-02-15,completed,3100000,30000,credit_card,DKI Jakarta
ORD-033,CUST-075,2024-02-17,refunded,690000,15000,gopay,Banten
ORD-034,CUST-022,2024-02-18,completed,510000,15000,transfer,Jawa Barat
ORD-035,CUST-090,2024-02-19,completed,1750000,25000,credit_card,Jawa Timur
ORD-036,CUST-036,2024-02-20,completed,390000,10000,ovo,DKI Jakarta
ORD-037,CUST-053,2024-02-22,cancelled,820000,20000,credit_card,Jawa Barat
ORD-038,CUST-018,2024-02-23,completed,170000,10000,gopay,Jawa Tengah
ORD-039,CUST-066,2024-02-24,completed,2450000,30000,credit_card,DKI Jakarta
ORD-040,CUST-031,2024-02-25,completed,640000,15000,ovo,Banten
ORD-041,CUST-042,2024-03-01,completed,380000,15000,gopay,Jawa Barat
ORD-042,CUST-079,2024-03-02,completed,1350000,25000,credit_card,DKI Jakarta
ORD-043,CUST-014,2024-03-03,completed,590000,15000,transfer,Jawa Tengah
ORD-044,CUST-058,2024-03-05,completed,215000,10000,ovo,Jawa Timur
ORD-045,CUST-025,2024-03-06,cancelled,940000,20000,credit_card,DKI Jakarta
ORD-046,CUST-087,2024-03-07,completed,460000,15000,gopay,Banten
ORD-047,CUST-043,2024-03-09,completed,2800000,30000,credit_card,DKI Jakarta
ORD-048,CUST-017,2024-03-10,completed,720000,20000,credit_card,DKI Jakarta
ORD-049,CUST-070,2024-03-11,completed,310000,10000,ovo,Jawa Barat
ORD-050,CUST-006,2024-03-12,refunded,1080000,20000,transfer,Jawa Tengah
ORD-051,CUST-039,2024-03-14,completed,495000,15000,gopay,DKI Jakarta
ORD-052,CUST-064,2024-03-15,completed,870000,20000,credit_card,Jawa Timur
ORD-053,CUST-028,2024-03-16,completed,330000,10000,ovo,Jawa Barat
ORD-054,CUST-082,2024-03-18,completed,1620000,25000,credit_card,DKI Jakarta
ORD-055,CUST-051,2024-03-19,completed,240000,10000,gopay,Banten
ORD-056,CUST-009,2024-03-20,completed,3800000,35000,credit_card,DKI Jakarta
ORD-057,CUST-073,2024-03-22,cancelled,580000,15000,ovo,Jawa Tengah
ORD-058,CUST-046,2024-03-23,completed,750000,20000,transfer,Jawa Barat
ORD-059,CUST-020,2024-03-25,completed,1900000,25000,credit_card,Jawa Timur
ORD-060,CUST-035,2024-03-26,completed,425000,15000,gopay,DKI Jakarta
ORD-061,CUST-088,2024-04-01,completed,680000,15000,ovo,Jawa Tengah
ORD-062,CUST-042,2024-04-02,completed,1280000,25000,credit_card,Jawa Barat
ORD-063,CUST-017,2024-04-03,completed,440000,15000,credit_card,DKI Jakarta
ORD-064,CUST-060,2024-04-05,completed,290000,10000,gopay,Jawa Barat
ORD-065,CUST-076,2024-04-06,refunded,2200000,30000,credit_card,DKI Jakarta
ORD-066,CUST-019,2024-04-07,completed,530000,15000,transfer,Jawa Tengah
ORD-067,CUST-044,2024-04-09,completed,810000,20000,ovo,Jawa Timur
ORD-068,CUST-062,2024-04-10,completed,165000,10000,gopay,Banten
ORD-069,CUST-007,2024-04-11,completed,4500000,40000,credit_card,DKI Jakarta
ORD-070,CUST-037,2024-04-12,cancelled,620000,15000,ovo,Jawa Barat
ORD-071,CUST-055,2024-04-14,completed,950000,20000,credit_card,Jawa Timur
